YYWW,DOGA,MAX(PAY),MIN(PAY),YYYY,A1,A2,B1,B2,C1,C2,D1,D2,YYWW_1,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
2018-36,5097.2,5256,4955,2018-36,-448691,-455435,-833482,-835450,-42751,-108525,-1258940,-1268300,2018-36,63.1,23,22.9,15.6,28.9,13.3
2018-41,3931,4209,3635,2018-41,-425914,-431290,-968272,-968560,-63219,-117510,-1464268,-1473340,2018-41,54,12.6,12.6,5.2,20.9,15.7
2018-46,3634.8,3663,3603,2018-46,-444282,-454170,-1206355,-1207435,-64036,-119295,-1363675,-1373395,2018-46,54.5,8,8,0.6,16.6,16
2018-50,3877.8,3968,3726,2018-50,-448747,-459475,-1021602,-1025250,-40638,-91120,-1240693,-1250605,2018-50,46.5,-2,-1.9,-8.1,4.6,12.7
Feb-19,3219.8,3265,3198,Feb-19,-405690,-413850,-822590,-826190,-44186,-81910,-1037919,-1045335,Feb-19,48.1,-0.2,-0.1,-9.4,8,17.4
Mar-19,3276.3,3384,3043,Mar-19,-392717,-400325,-877350,-878070,-38621,-81590,-1052477,-1059125,Mar-19,50.3,-0.8,-0.8,-10.1,8.5,18.6
May-19,3353.7,3672,3018,May-19,-601331,-612155,-1184980,-1187860,-75688,-144490,-1424491,-1437475,May-19,51,0.3,0.2,-7.4,7,14.4
Jul-19,3027.4,3115,2938,Jul-19,-409988,-416900,-828030,-829230,-54457,-94275,-1145838,-1152990,Jul-19,43.9,-1.1,-1.1,-6.8,6.3,13.1
2019-17,4114.8,4316,3870,2019-17,-395594,-401930,-663220,-663220,-86733,-124695,-904372,-908020,2019-17,62.1,14.2,14.1,4.1,25.9,21.8
2019-20,4147.4,4237,4102,2019-20,-325317,-336285,-556900,-557620,-55779,-96095,-925045,-928045,2019-20,54.6,20.9,20.9,12.9,30,17.1
2019-21,4178.8,4244,4135,2019-21,-381854,-391310,-605080,-606280,-50816,-94895,-946900,-949300,2019-21,50.5,21.3,21.2,11.7,33.4,21.7
2019-28,4153,4238,4045,2019-28,-318749,-323285,-664100,-664100,-42171,-91705,-1073422,-1078270,2019-28,66.2,24,24,19.3,31.6,12.3
2019-33,4098.6,4342,3805,2019-33,-366225,-371865,-634280,-634280,-51261,-98695,-1019323,-1028035,2019-33,70.8,28.4,27,21.2,35.7,14.5
2019-48,3882,3979,3808,2019-48,-417520,-420400,-904490,-909290,-94942,-139800,-1105288,-1111480,2019-48,54.6,3.4,3.3,-3.4,13.7,17.1
Jan-20,2964.4,3077,2898,Jan-20,-192110,-193550,-487360,-487360,-43681,-69950,-730940,-733100,Jan-20,62.5,1.3,1.5,-6.5,7.7,14.2
Jul-20,3107.8,3167,3016,Jul-20,-377719,-381535,-1005630,-1005630,-87026,-140785,-1151223,-1156335,Jul-20,68.6,3.1,2.9,-8.3,15.6,23.9
Aug-20,3433.8,3631,3275,Aug-20,-404018,-409490,-984900,-984900,-96592,-141755,-1291898,-1297370,Aug-20,60.3,4.5,4.6,-4.4,12.2,16.6
Oct-20,4187.8,4217,4164,Oct-20,-383275,-388195,-953380,-953380,-91565,-133765,-1251591,-1255455,Oct-20,50.2,5.8,5.9,-2.8,17.6,20.4
2020-16,4315,4399,4273,2020-16,-340950,-341190,-857070,-857070,-100237,-136135,-1319750,-1324070,2020-16,60.5,12.2,12.1,4.8,23.8,19
2020-22,5158.2,5276,5097,2020-22,-369345,-372105,-795350,-795350,-95722,-139030,-1325520,-1329120,2020-22,64.5,19.7,19.7,11.8,30,18.2
2020-40,4281,4322,4240,2020-40,-254942,-258590,-553350,-553350,-67416,-94205,-1043048,-1044200,2020-40,69.6,17.4,17.4,8.5,25.7,17.2
2020-42,4146.4,4330,4007,2020-42,-355217,-359225,-628205,-630965,-53584,-94430,-1197637,-1199005,2020-42,60.5,13.4,13.3,6.5,21.7,15.2
2020-47,4350.4,4486,4241,2020-47,-369160,-371080,-604280,-604280,-70343,-116645,-1199277,-1204485,2020-47,74.6,7.2,7.1,-1.5,19.1,20.6
2020-53,3760.5,3945,3576,2020-53,-283962,-287370,-487920,-488640,-62476,-89690,-985842,-986850,2020-53,53.7,-9.8,-9.9,-12.9,-5,7.9
Oct-21,3960.8,4075,3797,Oct-21,-333570,-337410,-650620,-650620,-89101,-126265,-1217787,-1219635,Oct-21,62.2,7.7,7.8,1.5,17.1,15.6
Sep-17,4458.5,4509,4433,Sep-17,-435639,-449535,-872420,-873620,-61489,-128545,-1261309,-1281205,Sep-17,53.3,4.1,4.1,-3.1,12.7,15.8
Oct-17,4414,4462,4278,Oct-17,-410440,-420760,-793278,-799710,-33043,-86070,-1351338,-1361130,Oct-17,46.7,2.6,2.7,-5.3,16.7,22
Dec-17,4414.4,4438,4382,Dec-17,-507556,-517300,-750200,-752360,-65281,-118480,-1468935,-1490415,Dec-17,39.5,8.9,8.9,1.9,18.9,17
2017-16,4902.8,5013,4759,2017-16,-489996,-500220,-702743,-705695,-66441,-129650,-1386539,-1396355,2017-16,56.2,14.1,14.1,7,24.4,17.4
2017-19,4886,4940,4834,2017-19,-476003,-489275,-829405,-837205,-45380,-105570,-1457714,-1475330,2017-19,61.9,17.5,17.5,10.9,24.8,13.9
2017-20,4964.8,5001,4905,2017-20,-477602,-491330,-693878,-696950,-50231,-117900,-1381718,-1395110,2017-20,51.6,18.5,18.5,11,27.9,16.9
2017-32,5216.2,5366,5058,2017-32,-400742,-411110,-627326,-639950,-68583,-132155,-1321531,-1340995,2017-32,70.5,30.2,27.8,23.2,34.4,11.2
2017-34,5260.8,5371,5063,2017-34,-485502,-496350,-742360,-751720,-52787,-121115,-1400878,-1419070,2017-34,76.7,26.8,25.6,19,31.5,12.5
2017-43,3822.6,3851,3795,2017-43,-429502,-437470,-976920,-981000,-26768,-80740,-1385070,-1398990,2017-43,53.5,15.3,15.3,8.6,24.8,16.2
2017-44,3966.4,4023,3916,2017-44,-487377,-497625,-954833,-958505,-51888,-122890,-1402126,-1416430,2017-44,56.1,11.5,11.4,2.5,18.1,15.6
2017-50,4202.2,4440,3932,2017-50,-468470,-479510,-975820,-983260,-69693,-118910,-1340350,-1360750,2017-50,47.5,-5.5,-5.6,-12.3,6.7,19
Jun-18,4409.2,4576,4206,Jun-18,-462521,-475025,-889060,-889060,-46643,-117465,-1268707,-1281835,Jun-18,41.6,-5.5,-5.4,-13.4,6.1,19.5
Aug-18,3857,3903,3829,Aug-18,-387564,-400620,-858693,-859725,-34404,-100145,-1072547,-1080155,Aug-18,50,1.6,1.7,-4.5,8.6,13.1
Oct-18,3824.4,3950,3678,Oct-18,-440390,-450470,-829282,-829330,-41937,-96325,-1095400,-1107160,Oct-18,61,5.3,5.2,-1.1,12.2,13.3
2022-36,5284.8,6169,3612,2022-36,-379565,-384005,-683800,-683800,-104038,-145250,-1221787,-1225555,2022-36,73.9,22.4,22.4,16.7,30.8,14.1
2021-26,5288.4,5356,5223,2021-26,-349150,-353710,-530590,-530590,-106362,-150025,-1115783,-1117055,2021-26,75.3,24.1,24.2,19.5,31,11.5
2021-31,4899,5116,4396,2021-31,-355935,-360615,-415830,-418230,-116369,-155420,-1200703,-1204975,2021-31,73.6,31.8,28.6,24.1,35.4,11.3
Feb-22,4520.4,4578,4472,Feb-22,-409530,-416250,-571830,-571830,-91711,-136020,-1366492,-1369660,Feb-22,56.4,-3.4,-3.5,-11.3,5.6,16.9
Apr-22,4123.3,4459,3810,Apr-22,-532190,-537950,-918960,-918960,-128208,-196790,-1820784,-1823760,Apr-22,57.8,1.1,1,-5.9,8.4,14.3
May-22,3976,3982,3970,May-22,-220630,-222310,-508130,-508130,-78294,-111375,-999170,-1000610,May-22,56.5,-2.9,-2.9,-8.2,4.8,13
Dec-22,4191,4306,4134,Dec-22,-385857,-391065,-587740,-587740,-101309,-155785,-1256391,-1260255,Dec-22,63.7,6.6,6.8,-0.3,17.2,17.5
2018-47,3744.2,3830,3655,2018-47,-502699,-513715,-1093350,-1094070,-67044,-118385,-1292038,-1302070,2018-47,51.9,4.4,4.3,-3.1,12.7,15.8
Jan-19,3190.5,3270,3123,Jan-19,-428501,-434765,-1062415,-1063015,-69351,-128450,-1314164,-1327460,Jan-19,44.4,-3.1,-3.1,-8.8,4.1,12.9
2019-19,4083.6,4114,4043,2019-19,-350344,-361000,-675960,-676440,-49495,-87090,-855660,-857580,2019-19,41.3,17.9,17.9,8.4,28.9,20.5
2019-23,4193.4,4435,3975,2019-23,-324755,-332795,-623890,-625330,-42509,-82050,-1019586,-1024050,2019-23,66.7,21.3,21.2,15.7,29.6,13.9
2019-39,4901.2,5248,4289,2019-39,-497858,-504770,-982280,-991400,-88851,-146010,-1216150,-1223110,2019-39,60.5,22.1,22.2,13.9,29.9,16
2019-51,3025.2,3385,2749,2019-51,-422765,-427925,-1020800,-1028000,-83288,-141755,-1174725,-1178685,2019-51,63.8,1.9,1.8,-5.1,10.2,15.3
May-20,2719.6,2903,2589,May-20,-349099,-354835,-955020,-955020,-80680,-127185,-1348068,-1354740,May-20,52.6,2.6,2.5,-6,10.4,16.4
2020-14,3767,3963,3638,2020-14,-325175,-327215,-948210,-948210,-100217,-137095,-1251780,-1253940,2020-14,42.2,9.5,9.5,1.9,17.4,15.5
2020-15,4102.4,4220,3988,2020-15,-399130,-401530,-907740,-907740,-93850,-139775,-1345335,-1347855,2020-15,47.3,10.6,10.6,4.3,20.4,16.1
2020-34,4105,4350,3781,2020-34,-346206,-349950,-622240,-622240,-89645,-135330,-1180927,-1185415,2020-34,77.9,28.7,27,21.5,34.5,13
2020-52,3637.8,3744,3470,2020-52,-327765,-332205,-567015,-568095,-74654,-108625,-1336622,-1338590,2020-52,65.8,3.1,3,-6.2,11.4,17.6
Apr-21,3552.8,3669,3379,Apr-21,-393940,-398980,-621940,-621940,-89933,-124685,-1359177,-1363905,Apr-21,67,4.9,4.7,-9.7,13.9,23.6
Jun-21,3462,3583,3303,Jun-21,-438687,-441255,-1216310,-1216310,-59861,-94995,-1561691,-1563635,Jun-21,65.7,2.3,2.4,-6.1,10.9,17
Jan-17,4319.3,4445,4200,Jan-17,-422940,-432780,-1284475,-1290595,-38869,-91665,-1223840,-1239200,Jan-17,64.2,3.9,3.9,-2.3,11.4,13.7
2017-23,5410,5467,5314,2017-23,-473712,-485040,-740267,-743795,-49003,-104850,-1427213,-1439525,2017-23,58,20.8,20.8,14.5,30.3,15.8
2017-24,5498.8,5576,5419,2017-24,-489458,-502610,-729970,-735970,-67004,-123755,-1345148,-1357820,2017-24,53.4,23,23,14.8,32.7,17.9
2017-35,5313.8,5378,5201,2017-35,-439586,-450770,-728623,-733735,-64799,-133285,-1363635,-1379835,2017-35,59.9,21.8,21.8,16.1,29.7,13.6
2017-51,4178.6,4256,4127,2017-51,-443390,-454910,-954413,-954485,-23834,-77440,-1340773,-1352125,2017-51,63.7,-1.3,-1.1,-10.8,8.7,19.5
Mar-18,3793.2,3862,3765,Mar-18,-415902,-426270,-915752,-915800,-61736,-115285,-1322121,-1333185,Mar-18,55.2,2.7,2.6,-3.7,8.7,12.4
Jul-18,3778.8,4177,3566,Jul-18,-409642,-419530,-1033682,-1034930,-33285,-76785,-1151664,-1161840,Jul-18,38.4,-1.3,-1.2,-9.6,8.7,18.3
2018-14,4375.6,4502,4245,2018-14,-460352,-469520,-734269,-734485,-52419,-115660,-1161731,-1173755,2018-14,67.2,10.3,10.2,0.6,23.7,23.1
2022-30,5589.2,5770,5470,2022-30,-323812,-328420,-622460,-622460,-131704,-168410,-1000297,-1006945,2022-30,74,30.6,28,22,34.4,12.4
2021-33,5393,5482,5297,2021-33,-386830,-393310,-546380,-548780,-88485,-135065,-1129412,-1131140,2021-33,64.1,26.5,26.2,20.6,32.8,12.2
2021-34,5531.6,5613,5384,2021-34,-341820,-343980,-547431,-552255,-98628,-140260,-1179707,-1181555,2021-34,83.7,24.6,24.4,21,30.7,9.7
2021-49,5943.8,6005,5767,2021-49,-426385,-434905,-516080,-516080,-84923,-131820,-1332987,-1335315,2021-49,60.2,4.5,4.5,-2.7,13.3,16
Jan-22,4506.6,4747,4390,Jan-22,-341359,-346615,-606370,-606370,-124359,-164380,-1429443,-1431915,Jan-22,50.7,-2.4,-2.4,-10.2,4.5,14.7
Mar-22,4376,4523,3983,Mar-22,-413910,-418710,-625530,-625530,-96598,-142570,-1372872,-1377480,Mar-22,57.1,-3.9,-3.9,-9.9,4.6,14.5
Jun-22,4075.8,4090,4061,Jun-22,-417670,-423430,-726290,-726290,-80800,-128695,-1303772,-1306940,Jun-22,53.5,-1.2,-1.1,-9.7,8.8,18.5
Jul-22,4005.4,4146,3902,Jul-22,-430040,-435560,-616130,-616130,-90808,-145665,-1268652,-1273740,Jul-22,50.7,-1,-1,-10.7,10.4,21.1
2022-15,4849,4965,4774,2022-15,-415390,-421630,-492240,-492240,-102405,-143970,-1257122,-1260770,2022-15,56.8,16.4,16.4,7.5,26.6,19.1
2022-17,6244.8,6323,6121,2022-17,-426710,-431990,-591170,-591170,-80307,-138335,-1416675,-1428075,2022-17,59.8,18.2,18.2,10.4,28.7,18.3
2018-35,5077.7,5182,5017,2018-35,-366523,-376675,-850915,-853435,-53856,-103895,-1292632,-1301800,2018-35,76.3,24.7,24.7,20.1,30.9,10.8
2018-40,4392.5,4714,4132,2018-40,-410732,-418940,-926465,-928505,-68615,-129835,-1463448,-1468920,2018-40,64.9,17,17,10.3,25.6,15.3
2018-43,3759.4,3847,3657,2018-43,-461813,-471965,-983410,-985570,-115811,-179140,-1390528,-1399360,2018-43,63.4,11.8,11.7,5.2,21.2,16
2018-48,3825.2,3875,3731,2018-48,-433152,-445680,-1208324,-1209860,-67913,-120645,-1305725,-1315445,2018-48,48.9,5.4,5.5,-1.5,13.6,15.1
Apr-19,3221,3328,3047,Apr-19,-428040,-435000,-849650,-851810,-54306,-92475,-1060149,-1067805,Apr-19,43,0.2,0.2,-6.6,7.1,13.7
2019-15,4532.2,4666,4381,2019-15,-361514,-370970,-722070,-723270,-31525,-75200,-886161,-888585,2019-15,48.9,10,10,3.9,18.4,14.5
2019-29,4134.4,4209,4087,2019-29,-327832,-332200,-604950,-604950,-51727,-92080,-995927,-1001135,2019-29,72.3,27.5,26.5,21.4,35,13.6
2019-36,4527.8,4681,4294,2019-36,-399082,-404650,-836800,-836800,-97911,-157780,-1134013,-1139365,2019-36,78.9,24.3,24.4,21.2,29.5,8.3
2019-49,3866.8,3915,3788,2019-49,-365012,-368420,-991290,-1001130,-91989,-157320,-1183930,-1186810,2019-49,50.8,-1.2,-1.1,-10.6,8,18.6
Mar-20,2833.3,3434,2280,Mar-20,-426290,-431090,-942270,-942270,-75345,-131570,-1300396,-1304140,Mar-20,46.9,-0.4,-0.4,-6.4,5.9,12.3
Sep-20,4175,4301,3850,Sep-20,-440772,-446340,-987080,-987080,-88407,-137795,-1231969,-1237705,Sep-20,63.2,5.5,5.5,0,13,13
2020-20,5075.8,5161,4923,2020-20,-397300,-398020,-739980,-740700,-98519,-143715,-1311132,-1313580,2020-20,69.8,17.1,17.1,10.1,26.8,16.7
2020-24,4619.6,4689,4527,2020-24,-360560,-362960,-609230,-609230,-88146,-125250,-1429617,-1434345,2020-24,63.6,25.1,25,18.2,33.5,15.3
2020-32,4362.8,4473,4202,2020-32,-337824,-342960,-717330,-718530,-67803,-113800,-1243703,-1246415,2020-32,91.2,25.1,25,22.4,29.5,7.1
2020-33,4385,4551,4220,2020-33,-353150,-357470,-676320,-677040,-84164,-133450,-1343382,-1346550,2020-33,83.8,30.6,27.4,23.5,32.2,8.7
2020-35,4281.6,4385,4187,2020-35,-323150,-327230,-558600,-558600,-91698,-138975,-1162349,-1167845,2020-35,81.4,30.3,27.3,23.8,34.5,10.7
2020-36,4733.4,5008,4500,2020-36,-356972,-361340,-624550,-624550,-105927,-154680,-1160715,-1166115,2020-36,78.4,22.6,22.6,17.5,27.5,10
2020-46,4241.4,4319,4122,2020-46,-295947,-302115,-597880,-598600,-89519,-135010,-1185890,-1187090,2020-46,65.6,11.9,12,3.5,20,16.5
Feb-21,3669.4,3765,3544,Feb-21,-365918,-370430,-583520,-583520,-80754,-116205,-1431212,-1432220,Feb-21,59.2,-6.2,-6,-18.6,8.3,26.9
2021-15,4553.4,4638,4377,2021-15,-356555,-360755,-510410,-510410,-53041,-89560,-1161702,-1163190,2021-15,56.7,12.1,12.2,3.1,21.8,18.7
Nov-17,4431.4,4474,4398,Nov-17,-403446,-415830,-780235,-785635,-49230,-108925,-1256741,-1274045,Nov-17,42.9,7.2,7.2,0.4,16.1,15.7
2017-13,4476,4509,4439,2017-13,-423843,-437115,-679052,-681260,-42180,-102065,-1324050,-1335810,2017-13,59.6,8.1,8.2,2.5,17.1,14.6
2017-14,4648,4708,4554,2017-14,-439869,-453285,-752152,-757960,-36703,-99590,-1443009,-1455225,2017-14,61.8,12,12.1,3.1,23.5,20.4
2017-17,5405.8,5528,5254,2017-17,-465900,-480060,-863985,-867705,-46143,-101010,-1354766,-1371470,2017-17,45,15.1,15.2,7.9,23.7,15.8
2017-27,5368.4,5473,5182,2017-27,-460437,-472605,-709513,-717025,-38312,-96390,-1272422,-1285910,2017-27,79.2,27.1,26.2,21.9,34.6,12.7
2017-28,5327,5376,5193,2017-28,-456943,-469735,-566725,-574525,-64665,-130195,-1186024,-1201000,2017-28,80.9,27.5,26.4,22.2,33,10.8
2017-38,4887.3,5255,4468,2017-38,-476495,-487415,-831514,-844090,-59682,-130895,-1459746,-1478610,2017-38,61,21.4,21.4,14.1,29.2,15.1
2017-39,4284.9,4883,3824,2017-39,-694892,-711260,-1172414,-1182110,-85027,-182405,-1869710,-1894430,2017-39,58.5,21.4,21.5,11.2,31.4,20.2
Feb-18,3810.2,3928,3717,Feb-18,-465533,-477365,-1059262,-1059790,-34140,-92830,-1335155,-1351595,Feb-18,54,-5.1,-5.1,-15.3,5.4,20.7
Apr-18,3871.8,3927,3841,Apr-18,-465966,-475710,-1048210,-1048210,-39824,-94965,-1257925,-1269805,Apr-18,38.4,-10,-10.1,-17.8,4,21.8
2018-20,4583.8,4629,4521,2018-20,-464972,-472460,-771940,-771940,-45756,-95560,-1128225,-1135785,2018-20,69.7,19.3,19.4,10.3,29.3,19
2018-21,4665.8,4913,4556,2018-21,-479418,-487050,-860412,-860460,-39274,-89135,-1204087,-1213135,2018-21,52.3,19,19,11.2,29.6,18.4
2018-32,4714.8,4805,4613,2018-32,-315780,-324180,-669315,-673275,-30480,-77345,-1116096,-1123680,2018-32,64.7,34.9,30.4,25.7,36.8,11.1
2022-40,5534.5,6092,5263,2022-40,-396119,-401135,-839300,-840260,-83930,-139355,-1461360,-1467600,2022-40,77.7,18.1,18,11,27.6,16.6
2021-25,5241.6,5309,5089,2021-25,-346673,-351785,-485120,-485120,-96183,-127895,-1028948,-1030100,2021-25,73.7,22.4,22.4,17.5,29,11.5
2022-21,6133.8,6293,6057,2022-21,-352905,-354705,-549640,-549640,-128221,-171405,-1206920,-1209560,2022-21,64.6,20.8,20.9,14.1,30.7,16.6
2018-45,3558.8,3603,3494,2018-45,-516156,-526620,-1050995,-1052555,-86298,-143615,-1375881,-1384065,2018-45,74,11.6,11.5,5.4,18.3,12.9
Jun-19,3154.7,3233,3107,Jun-19,-181381,-184525,-545460,-546180,-43596,-71140,-747225,-748545,Jun-19,38.2,-1.9,-2,-10.2,10.1,20.3
Sep-19,3386.5,3460,3346,Sep-19,-336041,-342305,-843865,-846385,-45142,-88050,-940295,-947615,Sep-19,38,7.6,7.6,-1.5,16.3,17.8
Dec-19,3918.8,4038,3824,Dec-19,-402149,-409565,-736065,-740025,-52615,-91835,-966818,-971570,Dec-19,56.7,6.5,6.5,-0.8,16.7,17.5
2019-13,4324.4,4418,4114,2019-13,-392281,-401425,-851620,-852820,-35780,-80945,-785164,-791020,2019-13,51.6,8.1,8.1,0.3,17.6,17.3
2019-18,4127.8,4219,4076,2019-18,-349324,-359740,-649230,-649950,-47053,-99675,-892692,-896340,2019-18,39.2,17.1,17.2,9,27.4,18.4
2019-38,5541.6,6201,4824,2019-38,-434451,-439755,-986570,-996170,-75536,-147345,-1422090,-1428330,2019-38,50.8,20.3,20.3,13.6,29,15.4
2019-41,3161.8,3333,3017,2019-41,-416280,-421320,-952628,-977540,-114777,-169615,-1216254,-1227390,2019-41,55.8,16,16,7.7,26.1,18.4
2019-45,3528.6,3669,3420,2019-45,-447586,-450370,-940950,-952950,-66609,-128595,-1096155,-1102515,2019-45,54.2,10,10,1.1,18.4,17.3
2019-46,3819.2,3930,3672,2019-46,-376057,-379825,-894420,-901620,-92184,-145500,-1274744,-1283720,2019-46,67.9,6.3,6.2,-2.5,14.5,17
2020-27,4835.8,4951,4700,2020-27,-336195,-340155,-759580,-760780,-82220,-139875,-1404503,-1405535,2020-27,70.2,24,24.1,18.1,30.9,12.8
2020-39,4201.3,4760,3387,2020-39,-411793,-415705,-672790,-680710,-96022,-157875,-1215852,-1217580,2020-39,62.9,20,20,14.8,26.5,11.7
2017-18,5283.4,5792,4844,2017-18,-398256,-409920,-554470,-554470,-56359,-111375,-1281752,-1289240,2017-18,44.9,19.8,19.8,10,30.2,20.2
2017-33,5122,5221,4993,2017-33,-461465,-470705,-728550,-731670,-57602,-120730,-1334218,-1352170,2017-33,76.1,24.7,24.8,20.5,30.6,10.1
2017-45,4200.2,4295,4135,2017-45,-425432,-436280,-940670,-944990,-48310,-108505,-1271065,-1279825,2017-45,53.1,10.3,10.3,2.6,18.4,15.8
2018-18,4569.8,4661,4372,2018-18,-511788,-521100,-753790,-755230,-47271,-110565,-1180825,-1187425,2018-18,66.4,16.4,16.4,6.9,25,18.1
2018-24,5160.5,5298,5089,2018-24,-503115,-516435,-867410,-869810,-47640,-106435,-1344331,-1354915,2018-24,64.3,21.8,21.7,16.3,28.7,12.4
2018-30,4448.4,4771,4166,2018-30,-297216,-306480,-453570,-456210,-76315,-114090,-1079300,-1084820,2018-30,63.6,35.1,30.7,26.4,36.8,10.4
2022-26,5407,5520,5245,2022-26,-353660,-355820,-612240,-612240,-113302,-147420,-1050994,-1054690,2022-26,86.7,26.5,25.7,21.2,30.9,9.7
2022-37,5478.5,5610,5336,2022-37,-334584,-341160,-797960,-797960,-134343,-178950,-1347095,-1352975,2022-37,67,24.3,24.4,19,29.9,10.9
2021-24,5139.4,5241,5051,2021-24,-353240,-354680,-461210,-461210,-79391,-113770,-983782,-985270,2021-24,73.2,23.4,23.4,18.2,30.2,12
2021-40,4673.4,4823,4515,2021-40,-362016,-367680,-526800,-530400,-120545,-160590,-1259322,-1262970,2021-40,80.4,21.3,21.3,16.4,28.8,12.4
2021-48,5803.8,5914,5607,2021-48,-361920,-364320,-601130,-603530,-126842,-165990,-1336965,-1340685,2021-48,60.2,3.5,3.5,-4.6,13.7,18.3
2018-34,4859.6,4946,4789,2018-34,-392609,-400985,-812585,-816785,-49081,-106680,-1303949,-1311125,2018-34,66.4,28.1,26.9,20.3,37.6,17.3
2018-42,3728.6,3766,3696,2018-42,-446140,-456940,-1118272,-1122160,-68825,-117315,-1404561,-1414185,2018-42,56.7,13.5,13.5,6.9,21.4,14.5
2018-52,3131.5,3212,3060,2018-52,-452917,-460765,-1015775,-1016135,-73966,-126980,-1219232,-1226000,2018-52,36.6,-5.4,-5.5,-14.4,5.2,19.6
Aug-19,3088.4,3186,3038,Aug-19,-384664,-389560,-797970,-799890,-39462,-80755,-1008075,-1014195,Aug-19,58,3.9,3.9,-2.6,14.5,17.1
2019-22,4312.2,4421,4208,2019-22,-342644,-350660,-560795,-562115,-44451,-81985,-995194,-996490,2019-22,48.2,19.9,20,11.9,29.5,17.6
2019-24,4289.6,4334,4239,2019-24,-364395,-368115,-558520,-558520,-87736,-133590,-970866,-972930,2019-24,56.1,21.9,21.9,15.5,28.8,13.3
2019-26,4042.2,4204,3862,2019-26,-345647,-351335,-539260,-539260,-51217,-88480,-1004723,-1008155,2019-26,63.7,24.6,24.6,19.5,32.8,13.3
2019-32,3985.8,4025,3953,2019-32,-356069,-359165,-644530,-644530,-68836,-111280,-1079370,-1085850,2019-32,67.2,32.2,29.4,23.9,36.8,12.9
2019-40,3631,4031,3308,2019-40,-456871,-460975,-991550,-1009550,-53949,-100875,-1162375,-1165855,2019-40,73.6,20.2,20.2,13.2,28.2,15
2019-42,3023.6,3073,2969,2019-42,-391460,-396020,-1012680,-1026840,-75499,-133575,-1156535,-1163375,2019-42,60.1,16,16,8.8,24.6,15.8
2019-43,2877.6,3054,2716,2019-43,-379535,-384935,-1014850,-1032130,-66421,-124990,-1152743,-1161695,2019-43,57.7,14.9,14.9,4.7,24.4,19.7
2019-47,3855.2,3913,3817,2019-47,-403728,-407280,-960693,-971085,-98752,-164820,-1137521,-1144505,2019-47,48.8,5.5,5.5,-4.6,17.7,22.3
2019-50,3697.2,3820,3498,2019-50,-389883,-393555,-930817,-938185,-101467,-156830,-1145965,-1150165,2019-50,58.9,4.5,4.5,-3.7,12.9,16.6
2020-13,3541.8,3657,3396,2020-13,-396400,-401200,-967880,-967880,-92242,-135050,-1166891,-1169795,2020-13,37.9,11,11.1,1.3,20.6,19.3
May-21,3647.8,3719,3568,May-21,-382898,-386690,-793200,-793200,-73745,-107260,-1540520,-1542200,May-21,55.7,-2.1,-2.1,-11.6,9.5,21.1
2021-13,4479.4,4599,4321,2021-13,-333980,-338780,-489170,-489170,-79223,-120645,-1262119,-1264255,2021-13,59.1,12.3,12.4,4.1,24,19.9
2021-19,5063.8,5191,4842,2021-19,-344110,-347950,-480600,-480600,-51883,-86990,-1060577,-1061465,2021-19,55.4,17.2,17.3,8.9,29.6,20.7
